"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","ENTREZID","diffexpressed"
"ENSG00000074842",3883.56628584362,0.450867872925906,0.0341187750591378,13.2146559231514,0.000000000000000000000000000000000000000722157838110557,0.00000000000000000000000000000000000000993714450237378,"MYDGF","56005","UP"
"ENSG00000127666",565.479852455999,1.16246648906144,0.0565480536976245,20.5571441110496,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000664297147380115,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000212999298655208,"TICAM1","148022","UP"
"ENSG00000105355",2090.49933206946,0.128378797667314,0.0303995217752206,4.22305319855259,0.0000241014902374103,0.0000870212772510167,"PLIN3","10226","UP"
"ENSG00000276043",410.928386876441,0.466462023887531,0.0651844360908063,7.15603373844821,0.000000000000830447131649229,0.00000000000490310779579439,"UHRF1","29128","UP"
"ENSG00000127663",1107.91868962886,-0.391072111271003,0.0387669066724412,-10.0877822049447,0.00000000000000000000000625671136404238,0.0000000000000000000000565067476004731,"KDM4B","23030","DOWN"
"ENSG00000105426",74.7608557997629,-0.414885155184237,0.148054423707637,-2.80224761134804,0.00507479070198427,0.0134199894415202,"PTPRS","5802","DOWN"
"ENSG00000160633",1937.23709020858,-0.112991517266399,0.0289999183880445,-3.89627018098715,0.0000976854129823307,0.000330316386440754,"SAFB","6294","DOWN"
"ENSG00000130255",4253.17421830802,-0.199971874958985,0.0343796760782677,-5.8165723988712,0.00000000600665335828466,0.000000028429805977168,"RPL36","25873","DOWN"
"ENSG00000167733",107.222459472516,-0.930281773048155,0.125010373001209,-7.44163664753768,0.0000000000000994454418784449,0.000000000000615476785441758,"HSD11B1L","374875","DOWN"
"ENSG00000196365",1749.97410365911,0.39554559746571,0.0344812647525817,11.4713192890088,0.00000000000000000000000000000183834979415886,0.000000000000000000000000000020094125424898,"LONP1","9361","UP"
"ENSG00000141994",288.094432054865,0.278406554328285,0.0729945754073422,3.81407183718315,0.000136695704590624,0.000452691823271702,"DUS3L","56931","UP"
"ENSG00000174886",543.370382280532,-0.161819201402157,0.0568663902146611,-2.84560354176371,0.00443273456453217,0.0118576403296752,"NDUFA11","126328","DOWN"
"ENSG00000187650",76.6585602183286,-0.729806596848835,0.136890322070154,-5.33132354290774,0.0000000974995315004818,0.000000425696844381105,"VMAC","400673","DOWN"
"ENSG00000267571",6.07381741179007,-1.13763284413908,0.489342853440808,-2.32481753057153,0.0200817192100889,0.0471926400755714,NA,NA,"DOWN"
"ENSG00000105519",103.552124660111,-0.864157024475419,0.125743712279038,-6.87236768195428,0.00000000000631449429568736,0.0000000000356071089328377,"CAPS","828","DOWN"
"ENSG00000031823",1126.04306673945,0.119742310072894,0.0418562242159529,2.86080056947075,0.0042257277905151,0.0113424647552736,"RANBP3","8498","UP"
"ENSG00000130382",2197.77906095175,-0.220023270621652,0.0310098095015353,-7.09527966015911,0.00000000000129090173462862,0.00000000000755367965174826,"MLLT1","4298","DOWN"
"ENSG00000125652",490.56972419817,-0.333373232060096,0.0663146732103486,-5.02714129349086,0.000000497845545440127,0.00000206551635492995,"ALKBH7","84266","DOWN"
"ENSG00000088247",5609.20681556695,-0.0656787525726196,0.0244263502917084,-2.68884838660955,0.00716989755029547,0.018503823874853,"KHSRP","8570","DOWN"
"ENSG00000125648",1154.35538420121,-0.662620156002883,0.0387256488170871,-17.1106276135653,0.0000000000000000000000000000000000000000000000000000000000000000123659834025934,0.000000000000000000000000000000000000000000000000000000000000000268221362424451,"SLC25A23","79085","DOWN"
"ENSG00000125657",61.7738803308189,1.819823221306,0.16607906995505,10.957571124396,0.00000000000000000000000000061117688272481,0.00000000000000000000000000621152594979449,"TNFSF9","8744","UP"
"ENSG00000125726",13.064499572457,4.70478759338651,0.525295591246147,8.95645741519635,0.000000000000000000335276857318679,0.00000000000000000260612600654265,"CD70","970","UP"
"ENSG00000125730",14.6066020912031,5.33462703531088,0.520535911145976,10.2483362263451,0.00000000000000000000000120398058856273,0.0000000000000000000000110857346506016,"C3","718","UP"
"ENSG00000125734",874.867325291187,0.254294802249602,0.0436068651910179,5.83153136864287,0.00000000549209842012736,0.000000026088572990456,"GPR108","56927","UP"
"ENSG00000125733",2197.86125138366,0.142898431701684,0.0267218740998933,5.34762012452766,0.0000000891182633019831,0.000000390548170039647,"TRIP10","9322","UP"
"ENSG00000174837",2.02958832999584,4.54014764297672,1.04273849298764,4.35406161133302,0.0000133638121099749,0.0000494857370129135,"ADGRE1","2015","UP"
"ENSG00000171105",339.395502823668,-0.222990859681563,0.0652542179935608,-3.41726353541724,0.000632540168702751,0.00191867807727715,"INSR","3643","DOWN"
"ENSG00000104880",276.732378142598,0.304118751628893,0.0708838297390123,4.29038262673772,0.0000178365537304369,0.0000652394345140389,"ARHGEF18","23370","UP"
"ENSG00000104883",21.1822737763848,0.898116741859337,0.235030574117799,3.8212762115332,0.000132762855215682,0.00044047105584632,"PEX11G","92960","UP"
"ENSG00000198816",1033.27337655198,-0.555619947735412,0.0481794934406771,-11.5322911898097,0.000000000000000000000000000000906973159362251,0.00000000000000000000000000000996910087926863,"ZNF358","140467","DOWN"
"ENSG00000090674",517.994562943363,0.828981204878602,0.0635840135173358,13.037572795756,0.00000000000000000000000000000000000000748005900601761,0.000000000000000000000000000000000000100754516257426,"MCOLN1","57192","UP"
"ENSG00000032444",3917.88805363365,-0.15872374367672,0.0286878177115303,-5.53279253489279,0.0000000315172179854838,0.000000142567534452642,"PNPLA6","10908","DOWN"
"ENSG00000076944",970.30192035284,0.514536208966293,0.0451960893767211,11.3845294153107,0.00000000000000000000000000000499370899662703,0.0000000000000000000000000000538357873967114,"STXBP2","6813","UP"
"ENSG00000181029",231.242928297545,-0.311567028697531,0.0815856317178485,-3.81889582929305,0.000134050351688208,0.000444492658351838,"TRAPPC5","126003","DOWN"
"ENSG00000268297",20.2436464182376,-3.70186123926548,0.400069214639357,-9.25305198152408,0.0000000000000000000218172270386289,0.000000000000000000175661801734768,NA,NA,"DOWN"
"ENSG00000142459",711.943218149049,-0.38081520714993,0.0424250877000801,-8.97617960962308,0.000000000000000000280331592923495,0.00000000000000000218623438909503,"EVI5L","115704","DOWN"
"ENSG00000260001",28.8285699321603,0.48663125500588,0.193120904185245,2.51982692945086,0.011741254896134,0.0290685978067423,"TGFBR3L","100507588","UP"
"ENSG00000104976",804.420779936458,0.241043134030143,0.045652122942939,5.27999835476271,0.000000129185046505925,0.000000558256347279495,"SNAPC2","6618","UP"
"ENSG00000178531",690.382786728047,-0.773148847843951,0.0562268916622515,-13.7505173234218,0.000000000000000000000000000000000000000000505666503194021,0.00000000000000000000000000000000000000000747227539691653,"CTXN1","404217","DOWN"
"ENSG00000104980",796.801488830425,0.199533282080082,0.0385803617986333,5.1718872705634,0.000000231741384099956,0.000000983962742600732,"TIMM44","10469","UP"
