"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"116","HBEGF","683.296194794383","1.63817792515972","0.0663548937184649","24.6881252211825","1.43460746544264e-134","4.41398977535603e-133","1839","UP",6,12,0.4,804.6402852,8.292723071,0.308605341,0.014573417,0,1,1,1,1,3,10.2344262295082,6.7,0.654653212,98.5173501577287,34.0694006309148,53.1653746770026
"117","HDAC9","311.948379571795","3.38386888535617","0.0911727329090566","37.1149221635324","1.61422392890967e-301","1.37029030569566e-299","9734","UP",2,10,0.069444444,216.3477188,10.22391123,0.288568257,0.004884286,1,1,1,1,1,4,10.4360655737705,9.7,0.929469054,24.8580441640379,36.8454258675079,71.3178294573643
"118","HECW2","3086.88556167139","1.02190209173765","0.0400652629852948","25.5059374529183","1.69386298717955e-143","5.6063776485905e-142","57520","UP",2,34,0.053291536,5077.336626,9.691566609,0.299366724,0.012639864,0,1,1,1,1,3,5.29508196721311,1.2,0.226625387,14.7003154574132,36.1514195583596,21.3178294573643
"119","HGF","13.2647036419615","1.32096621375209","0.311596579476429","4.23934760763961","2.24170310842551e-05","6.82429716921227e-05","3082","UP",4,8,0.1,330.8589378,57.14071928,0.285139828,0.004994696,0,0,1,1,1,2,6.77540983606557,2,0.295185096,47.8864353312303,77.4763406940063,25.5813953488372
"120","HLA-A","16872.4963464773","2.12475280660679","0.0370315825148272","57.376775776624","0","0","3105","UP",22,84,0.146341463,10462.94447,26.16524499,0.360193951,0.124497621,0,0,1,1,1,2,49.7,52.4,1.054325956,72.99684543,56.3406940063091,76.1627906976744
"121","HLA-B","12599.1501439852","3.2467738284113","0.0805916312258168","40.2867367123254","0","0","3106","UP",22,70,0.14893617,8014.159922,43.43148154,0.351035104,0.074877382,0,0,0,0,1,0,54.7114754098361,45.4,0.829807635,73.8170347003155,70.2839116719243,65.8268733850129
"122","HLA-C","20824.3073866057","1.84623752194128","0.0605117854763476","30.5103792163417","1.89801641556037e-204","9.65329512732958e-203","3107","UP",22,120,0.164383562,34259.84914,50.18501398,0.380116959,0.127700773,0,0,1,0,1,1,34.8786885245902,29.2,0.837187441,78.80126183,74.4479495268139,66.4082687338501
"123","HLA-DPA1","30.9730528247982","1.17115483753998","0.204970905153629","5.71376135877522","1.10505939810298e-08","4.24935583116052e-08","3113","UP",4,42,0.179487179,5686.746375,109.1123752,0.307510349,0.021365024,0,0,1,1,1,2,11.5622950819672,7.5,0.648660145,84.2902208201893,89.211356466877,52.5839793281654
"124","HLA-DRB1","11.0534244006923","2.07220149889437","0.394163163709926","5.25721754257927","1.46251273544254e-07","5.24446710890572e-07","3123","UP",22,26,0.107438017,1397.365169,25.33468917,0.311128839,0.019951574,0,0,0,1,1,1,21.0688524590164,16.1,0.76416122,52.23974763,55.1419558359621,61.4987080103359
"125","HLA-F","410.056692621623","3.64558475849801","0.147116718282343","24.7802207734235","1.46500359527029e-135","4.55502237744185e-134","3134","UP",22,28,0.166666667,885.1425668,35.57209978,0.301100174,0.020075492,0,0,1,0,1,1,11.4868852459016,8.9,0.774796632,80.410094637224,65.4889589905363,62.40310078
"126","HOPX","106.144485235915","-2.99698665372745","0.15901389900072","-18.8473251241635","3.09080700828277e-79","5.62374360743755e-78","84525","DOWN",15,4,0.133333333,22.33455028,33.11046472,0.250080154,0.001021294,0,0,0,1,1,1,23.2688524590164,1,0.042975905,67.6656151419558,63.3438485804416,6.97674418604651
