"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000198711",7.68527329605279,-1.09268549838398,0.442178922337684,-2.47113881549856,0.0134683526526528,0.0334456886558163,"SSBP3-AS1","DOWN"
"ENSG00000162391",3.06252014327382,2.12418939386443,0.715058420412431,2.97065153451272,0.00297168757946578,0.00831046966084484,"FAM151A","UP"
"ENSG00000184292",1672.26393833978,-1.46148023250998,0.0526152067783089,-27.7767649696377,8.28002979533693e-170,5.89331734928639e-168,"TACSTD2","DOWN"
"ENSG00000134716",22.3806376108494,2.4810258013998,0.310927792570834,7.97942757347619,1.47013478646356e-15,1.00463398826538e-14,"CYP2J2","UP"
"ENSG00000231252",4.07878171138187,-1.79083636943003,0.685610493904502,-2.6120317371914,0.00900058982210443,0.0231838646341277,"LOC101926964","DOWN"
"ENSG00000237928",30.7865381853524,-1.67015942320307,0.239258802395509,-6.98055581019836,2.9401453208669e-12,1.71587167071322e-11,"NFIA-AS2","DOWN"
"ENSG00000223949",1.75254461052706,4.51971421921323,1.13256425938896,3.99069119632266,6.5881014012587e-05,0.000230655671012394,"ROR1-AS1","UP"
"ENSG00000162437",381.76194354591,-1.02847585817168,0.070441938038882,-14.6003344996555,2.79470794098361e-48,4.57569042132648e-47,"RAVER2","DOWN"
"ENSG00000116678",290.665290192657,-1.18220117717305,0.0841720845407443,-14.045050489403,8.26094909807063e-45,1.28583468569969e-43,"LEPR","DOWN"
"ENSG00000152760",98.6052336254507,-1.39647260640613,0.121841707647218,-11.4613676496515,2.06232174040973e-30,2.28589876457799e-29,"DYNLT5","DOWN"
"ENSG00000162595",26.0417734845254,-1.31315226335155,0.215563143936379,-6.09172903759057,1.1169763081295e-09,5.64037762669352e-09,"DIRAS3","DOWN"
"ENSG00000137968",51.0175914315856,-1.47661750024091,0.191105676077997,-7.72670666065539,1.10364565197968e-14,7.26256367856915e-14,"SLC44A5","DOWN"
"ENSG00000184005",474.20439681577,-1.14427740598891,0.0665384413730028,-17.1972379030385,2.78494209113354e-66,6.21970400353158e-65,"ST6GALNAC3","DOWN"
"ENSG00000154027",180.270746080149,-3.30842063938699,0.124924981293743,-26.4832590337372,1.51115596441183e-154,9.34190385628404e-153,"AK5","DOWN"
"ENSG00000162616",2951.00355867317,-1.87868653309309,0.0328269405045858,-57.2300221773834,0,0,"DNAJB4","DOWN"
"ENSG00000137960",238.739139311495,-2.19291459872402,0.0893844953427247,-24.5335009199949,6.48828453218272e-133,3.20882459358628e-131,"GIPC2","DOWN"
"ENSG00000137959",1374.2021616554,5.45575336099763,0.435286990715755,12.53369266108,4.88348118988894e-36,6.24720959043606e-35,"IFI44L","UP"
"ENSG00000137965",941.531949511314,3.76723309708455,0.17243602800792,21.8471345031881,8.27659347340093e-106,3.08264551324526e-104,"IFI44","UP"
"ENSG00000230787",3.78517816094926,-2.72427025244813,0.889590968939651,-3.06238523947172,0.00219580654786309,0.00626783480388482,"PSAT1P3","DOWN"
"ENSG00000142875",1611.94879269605,-1.26973230396985,0.0415607791175034,-30.5512151343452,5.44831635010999e-205,5.18584587197374e-203,"PRKACB","DOWN"
"ENSG00000203943",46.8071700106471,-1.6069740689252,0.185852928014019,-8.64648238850446,5.31112322795995e-18,4.01489447670492e-17,"SAMD13","DOWN"
"ENSG00000117226",469.44249659247,1.71914645404254,0.0615891839781331,27.9131227757931,1.84904946141714e-171,1.34397879944096e-169,"GBP3","UP"
"ENSG00000117228",1091.18805381011,3.19189356609643,0.099171234489123,32.1856794718686,2.79982971304734e-227,3.30821258606667e-225,"GBP1","UP"
"ENSG00000162645",1879.49479896965,1.23345685258401,0.0421991075193976,29.2294535380169,8.19386022587914e-188,6.92034969640623e-186,"GBP2","UP"
"ENSG00000162654",847.229157249223,4.41643839463261,0.104297247131096,42.3447264056874,0,0,"GBP4","UP"
"ENSG00000154451",42.3494488854948,8.07179546150393,0.738835102715713,10.9250297283314,8.75117404935048e-28,9.01269475086821e-27,"GBP5","UP"
"ENSG00000122406",17948.5380400774,-1.08122199946495,0.0427009411262698,-25.3208002200162,1.88525857837163e-141,1.02307267558421e-139,"RPL5","DOWN"
"ENSG00000154511",27.6071109221085,-1.57482882402987,0.2568035551897,-6.1324260984882,8.65489171879495e-10,4.39915729533833e-09,"DIPK1A","DOWN"
"ENSG00000226835",3.73316915310005,4.22081403856205,0.95229426911641,4.43225815322647,9.32512730081248e-06,3.55317717930561e-05,"ARHGAP29-AS1","UP"
"ENSG00000137970",122.893044840079,-1.32039228326681,0.118546769427361,-11.1381549210067,8.17963754231195e-29,8.66210976114325e-28,"RPL7P9","DOWN"
