"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000144821",7.33098989136195,-1.45832100347977,0.453843150482121,-3.21327093276737,0.00131232432308927,0.00642222965366744,"MYH15","DOWN"
"ENSG00000144857",7.8279689443316,1.15676306508671,0.409221829690195,2.82673841217719,0.00470247244976628,0.0199617313654124,"BOC","UP"
"ENSG00000129048",40.8108134162615,-1.27260714406936,0.206852423801865,-6.15224671134788,7.63929167422805e-10,8.97985188090652e-09,"ACKR4","DOWN"
"ENSG00000196549",717.424622592022,-1.03147994629602,0.0630186840348212,-16.3678433165325,3.24511156948714e-60,2.85117011849359e-58,"MME","DOWN"
"ENSG00000163661",5928.08793379254,-1.44270853716406,0.107487859935406,-13.4220602962144,4.49052958300792e-41,2.43054738747907e-39,"PTX3","DOWN"
"ENSG00000136603",1440.9096450393,1.28599746809883,0.046860302188712,27.4432175644102,8.37119355690696e-166,3.04099704403793e-163,"SKIL","UP"
"ENSG00000013297",8575.70852234833,-1.05317188579,0.0410443005862679,-25.6593941362558,3.3213474702137e-145,9.6523467249749e-143,"CLDN11","DOWN"
"ENSG00000090539",11.1577236492667,-1.10447005384292,0.31104885452641,-3.550792866685,0.000384072557936142,0.00212885288128337,"CHRD","DOWN"
"ENSG00000145113",3.88669993137346,2.25608774798303,0.702388580972937,3.21202224679954,0.00131804168359667,0.00644853856595213,"MUC4","UP"
"ENSG00000002587",34.2530051099341,-1.43686662918918,0.220959387695537,-6.50285395961115,7.88102988224152e-11,1.02247702249686e-09,"HS3ST1","DOWN"
"ENSG00000004468",4.34544028489026,-3.40560515629701,0.842905055980696,-4.04031881424022,5.33785895558577e-05,0.000348417953251607,"CD38","DOWN"
"ENSG00000169429",7531.69583489707,-1.10005371752279,0.12941796115823,-8.50000809530472,1.89577475265771e-17,4.01470684727624e-16,"CXCL8","DOWN"
"ENSG00000138769",10.2900251179172,-1.34783394459465,0.412197474651663,-3.26987433810376,0.00107595270199762,0.00537407364905741,"CDKL2","DOWN"
"ENSG00000169248",497.979695615162,1.13363233071582,0.199085741712951,5.69419146224105,1.2395792257888e-08,1.3088681707742e-07,"CXCL11","UP"
"ENSG00000188517",46.6017463454301,1.98344682983084,0.199229091192865,9.95560848044399,2.38360226794721e-23,6.86375714047604e-22,"COL25A1","UP"
"ENSG00000248187",8.88887580779784,-2.15861421637036,0.528753213819447,-4.08246070180382,4.45613490142197e-05,0.000295045174510554,"LOC124900778","DOWN"
"ENSG00000168491",5.91527635296365,1.43265576625483,0.548403107610582,2.61241365406731,0.00899053996958649,0.034901623515308,"CCDC110","UP"
"ENSG00000083857",205.319258110107,1.43350805205023,0.113123427186891,12.6720705666204,8.44552898230617e-37,4.04913813390263e-35,"FAT1","UP"
"ENSG00000145491",8.94680053513799,-1.05377015661059,0.386273765106181,-2.72803967497229,0.00637119445298504,0.0259998008900777,"ROPN1L","DOWN"
"ENSG00000232517",9.2178472279368,1.94450642233631,0.408855942886349,4.75596956866744,1.9749622097659e-06,1.6032245871284e-05,"CSPG4BP","UP"
"ENSG00000164283",10016.7784197761,1.30055216108481,0.0324676432696332,40.0568698591441,0,0,"ESM1","UP"
"ENSG00000145649",2.70528970917666,2.91762360482748,1.10027048686622,2.65173304169725,0.00800798294210348,0.0316003337740411,"GZMA","UP"
"ENSG00000164287",2.23424644221628,1.92844353557399,0.764448905400521,2.52265850856783,0.0116471445640363,0.0437317751569561,"CDC20B","UP"
"ENSG00000152932",14.8399809106787,1.74838065693204,0.263775975302825,6.62827861758385,3.39623986702083e-11,4.5759608479332e-10,"RAB3C","UP"
"ENSG00000171617",882.150689115328,1.4101051291613,0.0487966552696981,28.8975775361585,1.28060833457203e-183,5.90016864391845e-181,"ENC1","UP"
"ENSG00000164220",316.31403025709,1.15154821693954,0.0668021479941204,17.2381914581683,1.37264243062992e-66,1.36469555339996e-64,"F2RL2","UP"
"ENSG00000164251",1598.94186274127,1.90044646686878,0.0814591757882154,23.3300478243203,2.19741801011266e-120,5.25433243177572e-118,"F2RL1","UP"
"ENSG00000038427",20.8744017606538,2.59030583527056,0.2931997665938,8.83461083671045,1.00447325484883e-18,2.31678874042667e-17,"VCAN","UP"
"ENSG00000175471",1873.70163051879,1.03553801411331,0.0403099762790668,25.6893729468918,1.53651819482331e-145,4.53512948440819e-143,"MCTP1","UP"
"ENSG00000081059",50.8651162979647,1.24676551978265,0.194094213980471,6.4235068846931,1.33170118702466e-10,1.68717876746451e-09,"TCF7","UP"
"ENSG00000120708",272.51394976748,1.48390767787412,0.0951198324958841,15.6004025547284,7.23365585195918e-55,5.81462804440463e-53,"TGFBI","UP"
"ENSG00000158458",12.2634067618755,-2.03523824898454,0.443382544132605,-4.59025344122671,4.42708130176298e-06,3.43439695237383e-05,"NRG2","DOWN"
"ENSG00000204963",6.29921772294542,1.23939443074046,0.435905840401982,2.84326181451828,0.0044654372013866,0.0190626234427554,"PCDHA7","UP"
"ENSG00000145861",3.31053841172966,1.75090201484047,0.664847255027852,2.6335402629693,0.00844998164377189,0.0331506029596783,"C1QTNF2","UP"
"ENSG00000253522",92.8182860243309,1.1859938098771,0.175929252459974,6.74131102868712,1.56963789162255e-11,2.17219485514651e-10,"MIR3142HG","UP"
"ENSG00000184347",5.07621020450106,1.75229438944062,0.544966991100254,3.21541381048208,0.00130256603559852,0.00637943282666738,"SLIT3","UP"
"ENSG00000074317",17.8707292235503,-1.31903862127205,0.266665051599399,-4.94642478780305,7.55889140589989e-07,6.46097097997506e-06,"SNCB","DOWN"
"ENSG00000219607",9.34528308404933,-1.42303912971419,0.420995086806818,-3.38017989831597,0.000724383992537947,0.00378209331648475,"PPP1R3G","DOWN"
"ENSG00000239264",5898.02169916656,1.12061496838261,0.0428918149437201,26.1265458188937,1.82095818358533e-150,5.54804840127853e-148,"TXNDC5","UP"
"ENSG00000078401",4194.54662449931,1.41308079375492,0.0325506877019334,43.4117032086847,0,0,"EDN1","UP"
"ENSG00000197238",2.5691725883571,-3.06918183874273,1.07027054796191,-2.86766915579178,0.00413507690349401,0.0178093029427729,"H4C11","DOWN"
