gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
MESDC1,3.22E-13,0.341783164,0.428,0.122,7.03E-09,0.306
ENG,3.23E-13,0.550451689,0.723,0.394,7.06E-09,0.329
SDC4,3.26E-13,0.532147156,0.277,0.035,7.12E-09,0.242
MDFIC,3.59E-13,0.228623137,0.415,0.11,7.85E-09,0.305
RPS3,3.79E-13,0.341576279,0.981,0.878,8.29E-09,0.103
EMP3,4.01E-13,0.529291379,0.604,0.272,8.76E-09,0.332
PABPC1,4.05E-13,0.380801711,0.855,0.547,8.86E-09,0.308
TSPAN4,4.17E-13,0.313555964,0.623,0.28,9.12E-09,0.343
SLC38A2,4.55E-13,0.469847406,0.843,0.476,9.96E-09,0.367
RPL21,4.64E-13,0.327104875,0.969,0.843,1.02E-08,0.126
ICAM4,4.92E-13,0.353481791,0.296,0.043,1.08E-08,0.253
LPP,4.94E-13,0.344409966,0.484,0.165,1.08E-08,0.319
EEF1D,5.18E-13,0.390101721,0.925,0.606,1.13E-08,0.319
MGST3,5.76E-13,0.391063373,0.799,0.457,1.26E-08,0.342
SIRPA,5.97E-13,0.323471375,0.233,0.016,1.31E-08,0.217
RPL29,6.09E-13,0.396758429,0.95,0.772,1.33E-08,0.178
ZNF385D,6.10E-13,0.375691337,0.44,0.134,1.33E-08,0.306
LTBP4,6.27E-13,0.267396645,0.233,0.016,1.37E-08,0.217
RPLP2,6.34E-13,0.348901937,0.95,0.713,1.39E-08,0.237
CHN1,7.64E-13,0.418463529,0.321,0.063,1.67E-08,0.258
BCL3,8.49E-13,0.488754461,0.39,0.106,1.86E-08,0.284
SAT1,9.05E-13,-0.821709844,0.862,0.831,1.98E-08,0.031
PON2,9.16E-13,-1.301792246,0.428,0.61,2.00E-08,-0.182
CHIC2,9.34E-13,0.386191086,0.528,0.209,2.04E-08,0.319
SHC1,9.81E-13,0.531159469,0.629,0.295,2.14E-08,0.334
CXCL2,9.89E-13,0.939093291,0.478,0.165,2.16E-08,0.313
CST3,1.01E-12,0.668378306,0.836,0.543,2.21E-08,0.293
C10orf128,1.06E-12,0.394107719,0.472,0.165,2.32E-08,0.307
TSPAN13,1.09E-12,-0.86679612,0.038,0.331,2.39E-08,-0.293
HMGB2,1.14E-12,0.352417569,0.61,0.299,2.50E-08,0.311
FAM89B,1.24E-12,0.328257017,0.465,0.161,2.71E-08,0.304
NACA,1.35E-12,0.414584698,0.95,0.732,2.95E-08,0.218
NARG2,1.40E-12,0.725018657,0.535,0.232,3.06E-08,0.303
HLA-DPA1,1.47E-12,0.59140332,0.748,0.433,3.21E-08,0.315
TNFRSF1A,1.55E-12,0.403946091,0.591,0.268,3.38E-08,0.323
