gene,original_leidenID,degreeCentrality,degree_ratio,betweennessCentrality,betweenness_ratio,closenessCentrality,eigenvectorCentrality,VEGFA,TNF-IL6,TGFB1/2,F2(Thrombin),GSE13592,intersect_count,Average NX (all except retina),NX (retina),tissue_ratio,degree_ratio_percentile,betweenness_ratio_percentile,tissue_ratio_percentile
SERPINB2,11,14,0.068627451,1028.142909,35.75624322,0.263736264,0.002036737,0,0,0,1,0,1,8.059016393442624,0.1,0.012408462,24.290220820189273,65.67823344,5.167958656330749
SERPINB7,11,10,0.076923077,186.3915346,9.412301944,0.264093448,0.001732159,0,0,0,1,0,1,2.1311475409836067,0,0,30.157728706624603,35.646687697160885,2.3901808785529712
SERPIND1,11,6,0.25,36.83029114,19.0300319,0.243104254,0.000745598,0,0,0,1,0,1,3.2065573770491804,0.1,0.031186094,93.50157728706625,48.32807570977918,6.459948320413436
SERPINE2,4,20,0.208333333,1187.184401,41.48238616,0.323987539,0.018770098,0,0,1,0,1,1,15.195081967213117,4.9,0.322472759,89.71608833,69.33753943217665,27.84237726098191
SERPING1,11,28,0.304347826,5340.046961,287.6817851,0.290124605,0.00447696,0,0,0,1,0,1,41.67213114754099,82.6,1.982140047,96.08832807570978,96.46687697160883,92.37726098191214
SH3RF3,0,10,0.090909091,133.1348113,24.25078608,0.26289181,0.003575706,1,0,0,0,0,1,3.560655737704918,4.6,1.291896869,41.230283911671926,54.00630914826499,83.4625323
SIK2,9,24,0.116504854,1543.668389,56.7037458,0.304390244,0.015364004,0,0,0,1,0,1,11.365573770491803,14.9,1.310976489,58.26498422712933,77.22397476340694,83.78552971576228
SLAIN1,9,10,0.053763441,366.6855334,18.28670002,0.277975766,0.005209134,0,0,0,1,0,1,12.99344262295082,1.3,0.100050467,14.952681388012618,47.44479495268139,11.434108527131782
SLC13A4,22,8,0.142857143,149.1531127,7.267717985,0.238860818,0.000615636,0,0,0,1,0,1,3.8459016393442633,23.5,6.110400682,71.57728706624606,32.99684542586751,98.64341085271317
SLC27A6,22,14,0.134615385,737.8410949,70.58904836,0.283636364,0.007609921,0,0,0,1,0,1,4.526229508196721,1.7,0.375588555,68.48580441640378,81.89274447949528,32.299741602067186
SLC39A6,1,46,0.194915254,3314.034463,94.09343782,0.329809725,0.08459164,0,0,1,0,0,1,18.15737704918033,25.1,1.382358252,86.87697161,87.19242902208202,85.33591731266151
SLC41A1,22,10,0.131578947,281.8757169,7.750349296,0.25128866,0.0012236,0,0,0,1,0,1,7.085245901639344,5.8,0.818602499,66.81388012618297,33.62776025236593,65.24547803617571
